Date and time,Mode,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Label
2015-03-14 09:26:59,3,-55.29813,-0.02204991,0.130714,-20.425848,-0.01003619,0.974897,3.971616,220.6818,-1.057015,P
2015-03-17 01:39:22,2,-79.28784,-0.0155603,0.1662583,-18.761403,-0.01555579,0.974897,6.363593,513.2807,-0.139586,P
2015-03-17 01:42:28,2,-69.64102,-0.02297006,0.0817572,-23.813145,-0.01333623,0.974897,1.863307,-37.2175,0.103372,-
2015-03-17 04:28:02,1,-133.08365,-0.01590363,0.1615738,-20.052251,-0.02793324,0.974897,5.702817,432.4513,-0.743268,N
2015-03-17 04:54:44,3,-76.17765,-0.01559202,0.0820463,-24.245502,-0.0148402,0.974897,4.211027,249.9678,-0.524568,N
2015-03-17 04:58:11,?,-48.60583,-0.01697962,0.0307044,-27.017617,-0.00849642,0.974897,2.4139,30.1339,-0.147818,N
2015-03-17 06:46:47,1,-5.21648,-0.01441942,0.0667005,-23.316042,0.00148669,0.974897,-0.135181,-281.6828,-1.764703,N
2015-03-17 07:57:27,1,50.82537,-0.01739889,?,-17.132923,0.01438091,0.974897,5.901484,456.7533,-0.538939,P
2015-03-17 08:28:23,1,-7.25314,-0.01899746,0.085085,-21.963893,0.00101809,0.974897,-0.981128,-385.1634,?,-
2015-03-17 10:04:00,3,3.09572,-0.01854973,0.0074015,-27.107961,0.00339918,0.974897,-1.284915,-422.3242,-0.877981,L
2015-03-17 11:25:55,1,-22.34241,-0.01101776,0.1532542,-17.772678,-0.00245367,0.974897,0.769468,-171.0214,-0.217174,P
2015-03-17 11:56:27,?,-21.56436,-0.02412714,0.210529,-14.428536,-0.00227466,0.974897,5.440793,400.3991,-0.78903,P
2015-03-17 14:11:13,2,-29.71092,-0.02687151,-0.0436732,-31.797033,-0.00414904,0.974897,2.346494,21.8884,-1.181979,-
2015-03-17 18:43:43,2,-21.68169,-0.03055421,0.1613579,-17.354922,-0.00230166,0.974897,1.910281,-31.4713,-0.391682,L
2015-03-17 20:31:14,3,-35.97603,-0.01886525,0.1741849,-16.813403,-0.00559053,0.974897,2.399335,28.3523,-0.081906,P
2015-03-17 21:25:17,1,-36.50101,-0.01334052,0.0560326,-25.181856,-0.00571131,0.974897,3.567887,171.2955,-0.369987,P
2015-03-17 21:27:29,3,-53.98569,-0.02595545,0.1392853,-19.780656,-0.00973423,0.974897,3.79213,198.7262,-0.466714,P
2015-03-17 22:42:53,?,-37.81586,-0.0152392,0.0425448,-26.22077,-0.00601384,0.974897,4.12846,239.8678,-0.434373,N
2015-03-18 03:38:17,3,-81.98649,-0.01516823,?,-24.298229,-0.01617671,0.974897,3.735176,191.7592,-1.039867,N
2015-03-18 07:58:21,3,-60.29167,-0.01229283,0.1235271,-20.429932,-0.01118512,0.974897,-0.322983,-304.6557,-0.713504,L
2015-03-18 09:49:33,1,-35.54979,-0.02682108,0.1515701,-18.760328,-0.00549246,0.974897,5.199333,370.8625,-1.084397,P
2015-03-18 12:09:57,3,-24.21944,-0.02146632,0.1331701,-19.747732,-0.00288555,0.974897,4.717618,311.9367,-1.329292,P
2015-03-18 15:42:41,1,-9.27568,-0.01567416,0.0743863,-23.161649,0.00055274,0.974897,2.031943,-16.589,-0.484153,N
2015-03-18 16:38:48,2,-46.57109,-0.01130131,0.0710895,-24.059938,-0.00802826,0.974897,1.57355,-72.6621,-0.513852,P
2015-03-18 18:30:25,2,-22.39942,-0.01883988,0.0290194,-26.564059,-0.00246679,0.974897,2.011544,-19.0843,-0.340626,-
2015-03-18 19:27:39,2,-14.60267,-0.02047436,0.0322163,-26.01831,-0.0006729,0.974897,0.774065,-170.4591,-0.079657,-
2015-03-18 20:03:35,3,-66.144,-0.02024953,0.0975861,-22.823317,-0.01253163,0.974897,3.146123,119.7033,-0.803972,P
2015-03-18 21:01:16,2,-28.00948,-0.02106081,0.144202,-18.528439,-0.00375757,0.974897,0.88835,-156.4792,-0.267345,L
2015-03-18 22:34:43,1,-44.74913,-0.0145342,0.00754,-28.890524,-0.00760906,0.974897,4.889652,332.9807,-0.272327,N
2015-03-19 00:00:01,2,-42.68261,-0.0295074,0.1268422,-19.957094,-0.00713359,0.974897,0.424525,-213.2167,-1.830048,-
2015-03-19 00:54:06,2,-75.12522,-0.03380564,0.1736845,-17.757873,-0.01459805,0.974897,3.417532,152.9033,-1.341647,P
2015-03-19 01:18:40,3,-54.53546,-0.01893014,0.1154742,-21.316231,-0.00986072,0.974897,2.870842,86.0294,-0.781958,P
2015-03-19 03:04:07,1,-73.83645,-0.0114138,-0.0169473,-30.279978,-0.01430153,0.974897,-1.493999,-447.9004,-1.512591,-
2015-03-19 06:46:45,3,-34.26432,-0.01426669,0.1056554,-21.725247,-0.00519669,0.974897,3.784958,197.8488,-0.241445,P
2015-03-19 09:59:51,3,-12.09493,-0.02185896,-0.0083777,-29.041895,-9.592e-05,0.974897,2.633789,57.0318,-0.010322,N
2015-03-19 10:12:19,1,-63.17045,-0.02456334,0.1099769,-21.991927,-0.01184747,0.974897,3.774105,196.5213,-1.700745,L
2015-03-19 12:32:24,3,-40.06219,-0.02408935,0.1457983,-19.140031,-0.00653068,0.974897,4.406689,273.9022,0.564271,P
2015-03-19 12:56:17,1,-59.11792,-0.00716937,0.0971234,-22.431458,-0.01091506,0.974897,1.074298,-133.7331,-0.874819,-
2015-03-19 18:22:23,2,-71.23739,-0.02618428,0.0107575,-28.865321,-0.01370353,0.974897,2.552892,47.1362,-0.517515,P
2015-03-19 23:21:13,1,-113.50664,-0.01369722,0.1738179,-18.343863,-0.02342892,0.974897,2.265877,12.027,-0.83953,L
2015-03-20 00:02:07,1,-37.17552,-0.01735405,0.0911128,-22.874588,-0.00586651,0.974897,4.388142,271.6334,-1.156866,P
2015-03-20 05:22:58,1,-43.60234,-0.01465572,0.1209384,-20.597969,-0.0073452,0.974897,1.969649,-24.2092,-1.676549,L
2015-03-20 05:25:37,3,-16.60508,-0.02209471,?,-24.8722,-0.00113362,0.974897,3.311083,139.882,0.162324,P
2015-03-20 05:31:47,1,-52.81729,-0.02448277,0.1515184,-18.841208,-0.0094654,0.974897,3.300711,138.6132,-1.521201,-
2015-03-20 07:17:40,1,-6.42297,-0.02869472,0.0532172,-24.247119,0.0012091,0.974897,-0.338376,-306.5387,-1.588966,L
2015-03-20 07:18:02,1,31.4828,-0.01640934,0.0933775,-21.420699,0.00993054,0.974897,4.767193,318.0009,-1.029078,P
2015-03-20 15:54:47,2,-12.92096,-0.01858351,0.0051679,-28.223815,-0.00028597,0.974897,3.397774,150.4865,-1.879546,N
2015-03-20 17:30:15,1,-29.21227,-0.00327723,0.013163,-27.857191,-0.00403431,0.974897,2.440694,33.4115,-2.096712,P
2015-03-20 17:48:19,3,-65.39133,-0.01554308,0.0849279,-23.748002,-0.01235846,0.974897,3.590365,174.0452,-0.590333,P
2015-03-20 20:21:43,1,-36.35594,-0.01511221,?,-16.930451,-0.00567794,0.974897,2.279755,13.7246,-1.433253,P
2015-03-20 23:12:15,?,-127.93093,-0.01482381,0.1544408,-20.40459,-0.02674769,0.974897,5.403726,395.8649,-2.264849,N
2015-03-24 01:52:58,2,-76.19362,-0.02057892,0.0839689,-24.206015,-0.01484387,0.974897,4.889174,332.9223,-0.279854,P
2015-03-24 04:21:31,1,-69.54329,-0.01632961,0.1175289,-21.576352,-0.01331375,0.974897,3.651821,181.5628,-0.364943,P
2015-03-24 07:16:13,3,-87.89943,-0.0088977,0.0394836,-27.486384,-0.01753717,0.974897,4.629494,301.1569,-1.015986,P
2015-03-24 07:48:25,1,0.64065,-0.00830995,-0.0285716,-30.10451,0.00283431,0.974897,1.99532,-21.0689,-0.150746,N
2015-03-24 08:54:09,3,-51.23541,-0.02554256,0.1663167,-17.850284,-0.00910144,0.974897,3.784779,197.8269,0.534449,L
2015-03-24 09:26:12,2,3.63255,-0.0195182,0.0850461,-21.93389,0.0035227,0.974897,0.331908,-224.546,-0.378958,N
2015-03-24 10:08:35,1,-109.69116,-0.01984942,0.1809226,-17.800726,-0.02255105,0.974897,2.445108,33.9515,-0.641845,L
2015-03-24 13:04:04,?,-62.72161,-0.03123975,0.0739522,-24.584526,-0.0117442,0.974897,4.514617,287.1045,-0.776905,N
2015-03-24 14:10:31,1,-91.10869,-0.02073845,0.035932,-27.855128,-0.01827556,0.974897,5.059173,353.7174,-0.714415,P
2015-03-24 15:51:51,3,24.0921,-0.02294893,0.1175204,-19.884336,0.00823007,0.974897,4.718926,312.0966,0.021234,P
2015-03-24 17:06:10,2,-60.58088,-0.03308929,0.1179989,-21.343296,-0.01125166,0.974897,3.475402,159.9824,-1.357923,-
2015-03-24 18:06:07,1,-49.57105,-0.03470925,0.1332611,-19.949686,-0.0087185,0.974897,2.617007,54.9791,0.123643,P
2015-03-24 19:21:38,3,-71.48672,-0.0197893,0.0483476,-25.931932,-0.0137609,0.974897,0.158235,-245.7907,-0.852079,-
2015-03-24 19:36:09,2,21.0423,-0.02876044,-0.0567082,-31.059796,0.00752836,0.974897,-2.322476,-549.2441,-0.21815,-
2015-03-24 21:38:47,1,-53.33559,-0.02678645,0.0909982,-23.009727,-0.00958465,0.974897,3.008772,102.9018,-1.105288,P
2015-03-24 23:38:11,2,-1.97339,-0.0152124,0.0871901,-22.072688,0.00223287,0.974897,1.617373,-67.3014,-0.089019,N
2015-03-27 01:01:05,1,-100.64718,-0.02669169,0.0586878,-26.055388,-0.02047019,0.974897,2.099106,-8.3733,-0.574737,-
2015-03-27 04:00:56,3,-25.99195,-0.01688797,0.1494415,-18.541111,-0.00329337,0.974897,3.901585,212.1152,-0.149324,P
2015-03-27 06:22:04,3,9.23029,-0.01271423,0.1050297,-20.408015,0.00481063,0.974897,0.118068,-250.704,0.097466,N
2015-03-27 07:07:02,2,-55.41191,-0.03512156,-0.0118379,-29.804322,-0.01006237,0.974897,0.251324,-234.4036,-0.30616,-
2015-03-27 14:00:37,2,18.24161,-0.02576237,0.0685772,-23.278331,0.00688398,0.974897,3.875227,208.891,-2.308093,P
2015-03-27 14:26:14,1,-53.21545,-0.02031024,0.0940068,-22.613187,-0.00955701,0.974897,1.664848,-61.4939,-0.757948,-
